title,year,imdb_id,tmdb_id,released,url
"Green Lantern: First Flight","2009","tt1384590","17445","2009-07-28","https://www.themoviedb.org/movie/17445"
"Goosebumps 2: Haunted Halloween","2018","tt5664636","442062","2018-10-11","https://www.themoviedb.org/movie/442062"
"Ninotchka","1939","tt0031725","1859","1939-11-23","https://www.themoviedb.org/movie/1859"
"Parallel","2018","tt4922674","426793","2018-04-10","https://www.themoviedb.org/movie/426793"
"Hoodwinked!","2005","tt0443536","10982","2005-12-16","https://www.themoviedb.org/movie/10982"
