rated_at,type,title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,tvdb_id,url,released,season_number,episode_number,episode_title,episode_released,episode_trakt_rating,episode_trakt_id,episode_imdb_id,episode_tmdb_id,episode_tvdb_id,genres,rating
2024-11-01T10:42:00.983295,movie,Doraemon: Nobita and the Birth of Japan,2016,,,tt5544700,384345,,https://www.themoviedb.org/movie/384345,2016-03-05,,,,,,,,,,,6.7
2024-11-01T10:42:01.566949,movie,Sarah's Key,2010,,,tt1668200,53457,,https://www.themoviedb.org/movie/53457,2010-09-16,,,,,,,,,,,7.3
2024-11-01T10:42:01.772839,movie,The Flower of My Secret,1995,,,tt0113083,4307,,https://www.themoviedb.org/movie/4307,1995-09-22,,,,,,,,,,,6.802
2024-11-01T10:42:02.277551,movie,Tokyo Drifter,1966,,,tt0061101,45706,,https://www.themoviedb.org/movie/45706,1966-04-10,,,,,,,,,,,7.1
2024-11-01T10:42:02.488422,movie,StreetDance 3D,2010,,,tt1447972,41592,,https://www.themoviedb.org/movie/41592,2010-05-19,,,,,,,,,,,6.5
2024-11-01T10:42:02.697048,movie,Here We Are: Notes for Living on Planet Earth,2020,,,tt11692010,664850,,https://www.themoviedb.org/movie/664850,2020-04-16,,,,,,,,,,,7.6
2024-11-01T10:42:02.900819,movie,Cranston Academy: Monster Zone,2020,,,tt8524650,627661,,https://www.themoviedb.org/movie/627661,2020-04-29,,,,,,,,,,,6.0
2024-11-01T10:42:03.107211,movie,Spartan,2004,,,tt0360009,11169,,https://www.themoviedb.org/movie/11169,2004-03-12,,,,,,,,,,,6.2
2024-11-01T10:42:03.317213,movie,Hey Arnold! The Movie,2002,,,tt0314166,17710,,https://www.themoviedb.org/movie/17710,2002-06-28,,,,,,,,,,,6.5
2024-11-01T10:42:03.527041,movie,Hero,1992,,,tt0104412,10699,,https://www.themoviedb.org/movie/10699,1992-10-02,,,,,,,,,,,6.3
2024-11-01T10:42:03.740908,movie,Three Days and a Life,2019,,,tt10204366,617986,,https://www.themoviedb.org/movie/617986,2019-09-18,,,,,,,,,,,6.4
2024-11-01T10:42:03.951786,movie,M. Butterfly,1993,,,tt0107468,1413,,https://www.themoviedb.org/movie/1413,1993-10-01,,,,,,,,,,,6.6
2024-11-01T10:42:04.162773,movie,The Five Heartbeats,1991,,,tt0101891,29475,,https://www.themoviedb.org/movie/29475,1991-03-29,,,,,,,,,,,7.32
2024-11-01T10:42:04.369038,movie,The Trial of the Incredible Hulk,1989,,,tt0098512,26883,,https://www.themoviedb.org/movie/26883,1989-05-07,,,,,,,,,,,6.393
2024-11-01T10:42:04.574214,movie,Merry Madagascar,2009,,,tt1526300,25472,,https://www.themoviedb.org/movie/25472,2009-11-16,,,,,,,,,,,6.5
2024-11-01T10:42:05.435078,movie,Nappily Ever After,2018,,,tt0365545,519035,,https://www.themoviedb.org/movie/519035,2018-09-21,,,,,,,,,,,7.2
2024-11-01T10:42:05.685867,movie,The Red Shoes,1948,,,tt0040725,19542,,https://www.themoviedb.org/movie/19542,1948-09-06,,,,,,,,,,,7.968
2024-11-01T10:42:05.894750,movie,One Million Years B.C.,1966,,,tt0060782,3591,,https://www.themoviedb.org/movie/3591,1966-11-24,,,,,,,,,,,6.065
2024-11-01T10:42:06.316504,movie,You're Not You,2014,,,tt1198156,290542,,https://www.themoviedb.org/movie/290542,2014-10-10,,,,,,,,,,,7.4
2024-11-01T10:42:06.557358,movie,Space Battleship Yamato,2010,,,tt1477109,61984,,https://www.themoviedb.org/movie/61984,2010-12-01,,,,,,,,,,,6.4
2024-11-01T10:42:06.769227,movie,Suspicion,1941,,,tt0034248,11462,,https://www.themoviedb.org/movie/11462,1941-11-14,,,,,,,,,,,7.1
2024-11-01T10:42:06.977124,movie,Broadcast News,1987,,,tt0092699,12626,,https://www.themoviedb.org/movie/12626,1987-12-16,,,,,,,,,,,6.7
2024-11-01T10:42:07.193982,movie,Earthquake,1974,,,tt0071455,11123,,https://www.themoviedb.org/movie/11123,1974-11-15,,,,,,,,,,,6.1
2024-11-01T10:42:07.409867,movie,Zindagi Na Milegi Dobara,2011,,,tt1562872,61202,,https://www.themoviedb.org/movie/61202,2011-07-15,,,,,,,,,,,7.6
2024-11-01T10:42:07.620897,movie,The Last Princess,2016,,,tt5947416,408360,,https://www.themoviedb.org/movie/408360,2016-08-03,,,,,,,,,,,6.8
2024-11-01T10:42:07.828760,movie,Hannah Arendt,2012,,,tt1674773,121873,,https://www.themoviedb.org/movie/121873,2012-09-11,,,,,,,,,,,6.9
2024-11-01T10:42:08.035797,movie,Our Idiot Brother,2011,,,tt1637706,59968,,https://www.themoviedb.org/movie/59968,2011-08-26,,,,,,,,,,,6.2
2024-11-01T10:42:08.242678,movie,Shock Wave,2017,,,tt5847286,441531,,https://www.themoviedb.org/movie/441531,2017-04-20,,,,,,,,,,,6.7
2024-11-01T10:42:08.446554,movie,The Christmas Train,2017,,,tt7370936,474982,,https://www.themoviedb.org/movie/474982,2017-11-25,,,,,,,,,,,6.5
2024-11-01T10:42:08.652911,movie,Irresistible,2020,,,tt9076562,595148,,https://www.themoviedb.org/movie/595148,2020-07-01,,,,,,,,,,,6.033
2024-11-01T10:42:08.864790,movie,An American Tail: The Treasure of Manhattan Island,1998,,,tt0166973,31473,,https://www.themoviedb.org/movie/31473,1998-02-15,,,,,,,,,,,6.3
2024-11-01T10:42:09.073669,movie,Pippi on the Run,1970,,,tt0066265,11626,,https://www.themoviedb.org/movie/11626,1970-11-14,,,,,,,,,,,6.8
2024-11-01T10:42:09.323525,movie,Calvary,2014,,,tt2234003,157832,,https://www.themoviedb.org/movie/157832,2014-04-11,,,,,,,,,,,7.1
2024-11-01T10:42:09.527408,movie,First Cow,2020,,,tt9231040,558582,,https://www.themoviedb.org/movie/558582,2020-03-06,,,,,,,,,,,7.045
2024-11-01T10:42:10.472651,movie,Dead Reckoning,1946,,,tt0039305,20663,,https://www.themoviedb.org/movie/20663,1946-12-31,,,,,,,,,,,6.7
2024-11-01T10:42:10.695120,movie,Run Fatboy Run,2007,,,tt0425413,7942,,https://www.themoviedb.org/movie/7942,2007-09-06,,,,,,,,,,,6.191
2024-11-01T10:42:10.900002,movie,Mr. Magorium's Wonder Emporium,2007,,,tt0457419,2284,,https://www.themoviedb.org/movie/2284,2007-11-14,,,,,,,,,,,6.2
2024-11-01T10:42:11.109881,movie,Born a Champion,2021,,,tt10661710,766931,,https://www.themoviedb.org/movie/766931,2021-01-22,,,,,,,,,,,6.9
2024-11-01T10:42:11.311766,movie,Sherlock Holmes and the Secret Weapon,1942,,,tt0035317,18706,,https://www.themoviedb.org/movie/18706,1942-12-25,,,,,,,,,,,6.3
2024-11-01T10:42:11.533633,movie,The Tree of Life,2011,,,tt0478304,8967,,https://www.themoviedb.org/movie/8967,2011-05-17,,,,,,,,,,,6.7
2024-11-01T10:42:11.745505,movie,Voyage of Time: Life's Journey,2017,,,tt1945228,86822,,https://www.themoviedb.org/movie/86822,2017-03-10,,,,,,,,,,,6.3
2024-11-01T10:42:12.001569,movie,Antwone Fisher,2002,,,tt0168786,13435,,https://www.themoviedb.org/movie/13435,2002-12-19,,,,,,,,,,,6.928
2024-11-01T10:42:12.422326,movie,Capricorn One,1977,,,tt0077294,11935,,https://www.themoviedb.org/movie/11935,1977-12-10,,,,,,,,,,,6.747
2024-11-01T10:42:12.629834,movie,Link,1986,,,tt0091415,62131,,https://www.themoviedb.org/movie/62131,1986-02-26,,,,,,,,,,,6.2
2024-11-01T10:42:12.837729,movie,A Dog's Will,2000,,,tt0271383,40096,,https://www.themoviedb.org/movie/40096,2000-09-15,,,,,,,,,,,8.4
2024-11-01T10:42:13.044925,movie,Madea's Family Reunion,2006,,,tt0455612,16781,,https://www.themoviedb.org/movie/16781,2006-02-24,,,,,,,,,,,6.3
